long,lat,parkname
-112.8875,52.460833,Rochon Sands Provincial Park - Rochon Sands
-114.997222,53.607778,Pembina River Provincial Park - Entwistle
-118.590278,53.903056,Pierre Grey's Lakes Provincial Park - Alberta 40; Grande Cache
-114.874352,53.244547,Eagle Point Provincial Park - Township Rd 494; Rocky Rapids
-113.2725,55.179722,Calling Lake Provincial Park - Calling Lake
-113.794444,54.653056,Cross Lake Provincial Park - Flatbush
-115.979444,55.503611,Hilliard's Bay Provincial Park - Grouard
-119.215556,55.879722,Moonshine Lake Provincial Park - Hwy 49; Blueberry Mountain
-117.223056,56.138056,Greene Valley Provincial Park - Range Rd 214; Marie-Reine
-119.0856,55.2039,Saskatoon Island Provincial Park - Range Rd 81; Wembley
-112.199167,51.372778,Little Fish Lake Provincial Park - Dorothy
-112.772222,51.478056,Midland Provincial Park - Hwy 838; Drumheller
-111.911111,50.447778,Kinbrook Island Provincial Park - Rainier
-112.92,49.812778,Park Lake Provincial Park - Diamond City
-111.616944,49.081944,Writing-on-Stone Provincial Park - NW 36 TW1 range 13; Milk River
-113.462222,49.006111,Police Outpost Provincial Park - Mountain View
-114.583333,50.939167,Bragg Creek Provincial Park - Bragg Creek
-112.929722,50.230278,Little Bow Provincial Park - Champion
-114.430556,50.813889,Brown-Lowery Provincial Park - Millarville
-114.66,50.66,Sheep River Provincial Park - Millarville
-114.196389,50.206667,Chain Lakes Provincial Park - 2308 22 St; Nanton
-115.285,50.893889,Spray Valley Provincial Park - Canmore
-115.045556,52.449792,Crimson Lake Provincial Park - Alhambra
-112.963611,51.943889,Dry Island Buffalo Jump Provincial Park - Hwy 585; Elnora
-114.269722,51.943889,Red Lodge Provincial Park - Spruce View
-115.069167,51.075278,Bow Valley Provincial Park - 800 Railway Ave #201; Canmore
-114.392653,51.16702,Glenbow Ranch Provincial Park - 255001 Glenbow Rd; Cochrane
-114.169722,52.345278,Sylvan Lake Provincial Park - 4403 Lakeshore Dr; Sylvan Lake
-112.881111,53.250833,Miquelon Lake Provincial Park - Camrose County No. 22
-113.702222,53.596389,Lois Hole Centennial Provincial Park - 250 Diamond Ave; Spruce Grove
-111.182778,56.485,Gregoire Lake Provincial Park - Hwy 881; Fort McMurray
-149.36582,61.14917,Chugach State Park - 18620 Seward Hwy; Anchorage
-151.710132,59.72009,Anchor River State Recreation Area - Anchor Point
-151.81405,59.842418,Stariski State Recreation Site - 29795 Sterling Hwy; Anchor Point
-151.397377,60.239955,Clam Gulch State Recreation Area - 17467 Clam Gulch Rd; Clam Gulch
-159.12972,60.11472,Wood-Tikchik State Park - Dillingham
-151.21,59.53278,Kachemak Bay State Park - Homer
-151.32129,60.382442,Kasilof River State Recreation Site - 28091 Cohoe Loop Rd; Kasilof
-151.270443,60.293002,Johnson Lake State Recreation Area - 21501 Crooked Creek Rd; Kasilof
-151.285582,60.32154,Crooked Creek State Recreation Site - 23342 Rilinda Rd; Kasilof
-151.056508,60.782896,Captain Cook State Recreation Area - Kenai Spur Hwy; Nikiski
-151.700587,60.032721,Deep Creek State Recreation Area - 67564 Halibut Rd; Ninilchik
-149.411654,59.999526,Caines Head State Recreation Area - Seward
-150.05332,62.77,Denali State Park - Trapper Creek
-146.254677,64.856079,Chena River State Recreation Area - 3700 Airport Way; Fairbanks
-146.922338,64.470217,Salcha River State Recreation Site - Salcha
-146.868966,64.441024,Harding Lake State Recreation Area - Salcha
-146.645463,64.314952,Birch Lake State Recreation Site - Birch Lake Pull Off; Salcha
-145.882971,63.675671,Donnelly Creek State Recreation Site - AK-4; Delta Junction
-145.735428,64.053447,Delta State Recreation Site - Delta State Recreation Site Access Rd; Delta Junction
-145.826411,64.198627,Quartz Lake State Recreation Area - Delta Junction
-143.677155,63.58804,Tanana Valley State Forest - Delta Junction
-145.841731,64.153924,Big Delta State Historical Park - MM 275 Richardson Hwy; Delta Junction
-145.433236,64.053933,Clearwater State Recreation Site - 1415 Clearwater Rd; Delta Junction
-143.553255,63.375786,Moon Lake State Recreation Site - Moon Lake State Recreation Site Rd; Tanacross
-142.831597,63.325363,Tok River State Recreation Site - Tok River State Recreation Site Access Rd; Tok
-134.019167,58.066667,Taku Harbor State Marine Park - Juneau
-131.746293,55.154377,Dall Bay State Marine Park - Ketchikan
-135.180317,58.60235,St. James Bay State Marine Park - Haines
-135.835583,59.374075,Alaska Chilkat Bald Eagle Preserve - Haines Hwy; Haines
-135.593187,59.446563,Haines State Forest - Haines
-85.93389,32.86305,Wind Creek State Park - 4325 AL Hwy 128 ; Alexander City
-87.06389,33.25056,Tannehill State Park - 12632 Confederate Pkwy; McCalla
-86.72111,33.34277,Oak Mountain State Park - 200 Terrance Dr;Pelham
-86.353382,32.98322,Weogufka State Forest - Sylacauga
-86.8625,33.8825,Rickwood Caverns State Park - 370 Rickwood Park Rd; Warrior
-87.67778,33.2986,Lake Lurleen State Park - 13226 Lake Lurleen R ; Coker
-87.22694,34.80389,Elk River Lodge State Park - 4401 McLean Dr; Rogersville
-87.37917,34.79111,Joe Wheeler State Park - 201 McLean Dr; Rogersville
-86.221555,34.573662,Cathedral Caverns - 637 Cave Rd; Woodville
-86.50417,34.73138,Monte Sano State Park - 5105 Nolen Ave; Huntsville
-85.59,34.54833,Desoto State Park Lake - 13883 CR 89; Fort Payne
-86.053333,34.473611,Bucks Pocket State Park - 393 CR 174; Grove Oak
-86.19639,34.40278,Lake Guntersville State Park - 7966 AL Hwy 227; Guntersville
-85.5075,31.66111,Blue Springs State Park - 2595 Hwy 10; Clio
-85.105659,31.987784,Cowikee Recreation Area - Eufaula
-85.101539,31.982037,Lakepoint Resort State Park - 104 Lakepoint Dr; Eufaula
-86.80222,31.75972,Butler County State Wildlife Management Area - Georgiana
-85.46944,32.00694,Barbour County State Wildlife Management Area - Midway
-86.25556,32.50278,Fort Toulouse State Park - 2521 W Fort Toulouse Rd; Wetumpka
-85.80972,33.47444,Cheaha State Park - 19644 Hwy 281; Delta
-85.03306,31.00722,Chattahoochee State Park - 250 Chattahoochee State Park Rd; Gordon
-86.99861,31.24722,Miller State Wildlife Management Area - Castleberry
-86.175,31.148611,Geneva State Forest - Harrison Rd; Kinston
-86.27222,31.31389,W F Jackson State Park - 100 Jerry Adams Dr; Opp
-87.503889,31.2575,Little River State Forest - 15733 AL-21; Atmore
-87.48806,31.26194,Claude D Kelley State Park - 18997 Hwy 21; Atmore
-87.48667,31.25667,Little River State Park Dam - Atmore
-87.439381,31.173757,Edward Hauss State Forest Nursery - Hauss Nursery Rd; Atmore
-87.433059,31.177133,Hauss State Forest - Atmore
-88.18472,31.04861,Cedar Creek State Park - 6625 Scoutshire Camp Rd; Citronelle
-87.93333,31.88333,Scotch State Wildlife Management Area - Coffeeville
-87.63111,30.27083,Gulf State Park Gas Field - 1621 Black Pond Rd; Hubbardton
-87.64111,30.265,Gulf State Park - 20115 State Hwy 135; Gulf Shores
-88.12528,31.12528,Boykin State Wildlife Management Area - Mt Vernon
-88.15056,31.58333,Saint Stephens State Forest - St. Stephens
-88.023021,31.564318,Saint Stephens Historical Park - 2056 Jim Long Rd; St. Stephens
-87.93604,30.66973,Meaher State Park - 5200 Battleship Pkwy E; Spanish Fort
-86.99083,32.59805,Paul M Grist State Park - 1546 Grist Rd; Selma
-86.8675,32.41111,Selma State Park - 1546 Grist Rd; Selma
-87.24777,32.05217,Camden State Park - Deer Run Dr; Camden
-87.24917,32.05693,Roland Cooper State Park - 285 Deer Run Dr; Camden
-88.86667,35.35,Chickasaw State Forest - Gallion
-88.82944,35.36528,Chickasaw State Park - 26955 US Hwy 43; Gallion
-85.47833,32.54667,Chewacla State Park Dam - Auburn
-85.4775,32.55083,Chewacla State Park - 124 Shell Toomer Pkwy; Auburn
-88.19639,31.7375,Bladon Springs State Park - 3921 Bladon Rd; Bladon Springs
-88.21889,32.5486,Sumter Historical State Park Historical - 523-925 Pine Grove Rd; York
-92.34611,33.30111,Moro Bay State Park - 6071 Hwy 600; Jersey
-91.19667,33.36999,Lake Chicot State Park - 2542 Hwy 257;Lake Village
-92.256905,33.78103,Marks' Mills Battleground State Park - Ark Hwy 8; Fordyce
-91.764523,33.912017,Cane Creek Creek State Park - 50 State Park Rd; Star City
-93.11444,33.68943,White Oak Lake State Park - 563 Hwy 387; Bluff City
-93.027884,33.627935,Poison Springs State Forest - CR 183; Chidester
-93.00583,33.6375,Poison Springs State Park - 665 Hwy 76; Chidester
-92.685501,33.218348,South Arkansas Arboretum - El Dorado
-93.18472,33.34778,Logoly State Park - 2370 Columbia Rd 47; Magnolia
-93.98472,33.68056,Millwood State Park - 1564 Hwy 32 E; Ashdown
-93.684056,33.773778,Old Washington Historic State Park - 103 Franklin St; Washington
-92.92194,34.42694,Lake Catherine State Park - 1200 Catherine Park Rd; Hot Springs
-93.16528,34.24499,De Gray State Park - 2027 State Park Entrance Rd; Bismarck
-94.14944,35.65778,Lake Fort Smith State Park - 15458 Sheperd Springs Rd; Mountainburg
-93.7425,34.2325,Daisy State Park - 103 E Park; Kirby
-94.36972,34.68556,Queen Wilhelmina State Park - 3877 Hwy 88 W; Mena
-93.18444,34.61583,Lake Ouachita State Park - 5451 Mountain Pine Rd; Mountain Pine
-93.67222,34.03333,Crater of Diamonds State Park - 209 State Park Rd; Murfreesboro
-94.17741,34.294231,Cossatot River State Park - 1980 Hwy 278 W; Wickes
-91.51566,34.97716,Lower White River Museum State Park - 2009 Main St; Des Arc
-91.05397,34.64568,Louisiana Purchase State Park - AR Hwy 362; Brinkley
-92.288373,35.287981,Woolly Hollow State Park - 82 Woolly Hollow Rd; Greenbrier
-91.54444,35.07083,Holloway Memorial State Park - Allred Rd; Griffithville
-92.54722,34.21306,Jenkins Ferry State Park - Forest Rd 9010; Leola
-91.909268,34.769664,Hogan State Fish Hatchery - 23 Joe Hogan Ln; Lonoke
-92.40028,34.95056,Bell Slough State Wildlife Management Area - Mayflower
-92.9375,35.11722,Petit Jean State Park - 1285 Petit Jean Mtn Rd; Morrilton
-91.31111,35.63889,Jacksonport State Park - 205 Avenue St; Newport
-92.06389,34.64582,Toltec Mounds State Park - 490 Toltec Mounds Rd; Scott
-92.097111,34.695251,Plantation Agriculture Museum - Scott
-93.683578,33.101973,Conway Cemetery State Park - Capitol Mall; Little Rock
-92.477544,34.842447,Pinnacle Mountain State Park - 11901 Pinnacle Valley Rd; Little Rock
-90.722324,34.75558,Mississippi River State Park - 2955 Hwy 44; Marianna
-90.555073,35.276923,Parkin Archeological State Park - Parkin
-90.7586,34.554222,Delta Heritage Trail State Park - 5539 Hwy 49; Helena-West Helena
-90.040311,35.570243,Hampson Archeological Museum State Park - Wilson
-90.70833,35.16111,Village Creek State Park - 201 CR 754; Wynne
-90.71639,35.97722,Lake Frierson State Park - 7904 Hwy 141; Jonesboro
-90.68667,35.53194,Lake Poinsett State Park - 5752 State Park La; Harrisburg
-90.166028,35.87307,Herman Davis State Park - AR 18 and Baltimore St; Manila
-90.66472,36.04583,Crowley Ridge State Park - 2092 Hwy 168 N; Paragould
-91.056892,36.15835,Davidsonville Historic State Park - 8047 Hwy 166 S; Pocahontas
-91.055,36.15778,Old Davidsonville State Park - 7953 Hwy 166 S; Pocahontas
-91.1475,36.06472,Lake Charles State Park - 3705 Hwy 25; Powhatan
-91.118793,36.082145,Powhatan Historic State Park - Powhatan
-90.94667,35.62278,Bayou De View State Wildlife Management Area - Weiner
-91.536498,36.498037,Mammoth Spring State Park - 17 US Hwy 63; Mammoth Spring
-92.116288,35.881545,Ozark Folk Center State Park - 1032 Park Ave; Mountain View
-92.57444,36.36056,Bull Shoals State Park - 153 Dam Overlook La; Bull Shoals
-93.01778,35.97999,Buffalo River State Wildlife Management Area - Western Grove
-93.73278,36.15527,Withrow Springs State Park - 33424 Spur 23; Huntsville
-93.37417,36.01028,Lost Valley State Park - Lost Valley Rd; Kingston
-94.30167,35.98444,Prairie Grove Battlefield State Park - 506 E Douglas St; Prairie Grove
-93.93883,36.284877,Hobbs State Park-Conservation Area - 20201 E Hwy 12; Rogers
-94.25139,35.78056,Devils Den State Park - 11333 W Arkansas Hwy 74; West Fork
-93.21417,35.25306,Lake Dardanelle State Park - 100 State Park Dr; Russellville
-93.25472,35.22083,Mount Nebo State Park - 16728 W State Hwy 155; Dardanelle
-93.14111,35.0786,Petit Jean River State Wildlife Management Area - CR 313; Dardanelle
-93.35722,35.34221,Lake Dardanelle State Fish Hatchery - 703 CR 1640; Knoxville
-93.35722,35.34221,Lake Dardanelle State Fish Hatchery - 703 CR 1640; Knoxville
-93.646741,35.163909,Mount Magazine State Park - 577 Lodge Dr; Paris
-111.95694,33.46027,Papago State Park - 625 N Galvin Pkwy; Phoenix
-111.40389,34.63194,Picacho Peak State Park - 15520 Picacho Peak Rd; Picacho
-111.48056,33.45832,Lost Dutchman State Park - 6109 N Apache Trail; Apache Junction
-111.38743,33.035947,McFarland State Historic Park - 24 Ruggles St; Florence
-111.15881,33.2801,Boyce Thompson Arboretum State Park - 37615 US 60; Superior
-112.77278,33.24861,Arlington State Wildlife Area - Arlington
-114.16083,34.2575,Buckskin Mountain State Park - Parker
-114.12222,34.25139,Bucksin Mountain State Park - 5476 N US Hwy 95; Parker
-114.138594,34.253457,River Island State Park - 5200 AZ-95; Parker
-113.58333,34.24167,Alamo Lake State Park - Alamo Rd; Wenden
-112.774537,34.203377,Granite Mountain Hotshots Memorial State Park - Yarnell
-114.624481,32.727202,Colorado River State Historic Park - 201 N 4th Ave; Yuma
-114.614939,32.727076,Yuma Territorial Prison State Historic Park - 220 Prison Hill Rd; Yuma
-111.097653,34.383112,Tonto Creek Fish Hatchery - 3898 N Tonto Creek Rd; Payson
-111.09722,34.38277,Tonto State Fish Hatchery - Pine
-111.453581,34.322342,Tonto Natural Bridge State Park - Hwy 87; Pine
-109.70742,32.758747,Roper Lake State Park - 101 E Roper Lake Rd; Safford
-109.7044789,32.7199627,Dankworth Pond State Park - 8600 US-191; Safford
-110.344357,31.835794,Kartchner Caverns State Park - 2980 AZ-90; Benson
-110.84944,31.49167,Patagonia Lake State Park - 400 Patagonia Lake Rd; Nogales
-110.73211,32.607135,Oracle State Park - 3820 Wildlife Dr; Oracle
-110.8643,31.482591,Sonoita Creek State Natural Area - 400 Patagonia Lake Rd; Patagonia
-110.63285,31.454275,San Rafael State Natural Area - 2036 Duquesne Rd; Patagonia
-110.068925,31.71229,Tombstone Courthouse State Historic Park - 223 E Toughnut St; Tombstone
-111.046975,31.611398,Tubac Presidio State Historic Park - 1 Burruel St; Tubac
-110.90417,32.43611,Catalina State Park - 11570 N Oracle Rd; Tucson
-110.076292,34.263327,Fool Hollow Lake Recreation Area - 1500 Fools Hollow Rd; Show Low
-109.37417,34.36305,Lyman Lake State Park - 11 US-180; St Johns
-111.658054,35.187764,Riordan Mansion State Historic Park - 409 W Riordan Rd; Flagstaff
-110.628891,35.025393,Homolovi State Park - Arizona 87; Winslow
-111.852493,34.564358,Fort Verde State Historic Park - 125 E Hollamon St; Camp Verde
-112.01333,34.75389,Dead Horse Ranch State Park - 675 Dead Horse Ranch Rd; Cottonwood
-112.022116,34.753082,Verde River Greenway State Natural Area - 2011 Kestrel Rd;Cottonwood
-112.111176,34.753972,Jerome State Historic Park - 100 Douglas Rd; Jerome
-111.752873,34.944406,Slide Rock State Park - 6871 N Hwy 89A; Sedona
-108.60806,35.54444,Red Rock State Park - 4050 Red Rock Loop Rd; Sedona
-114.28472,34.43583,Lake Havasu State Park - 699 London Bridge Rd; Lake Havasu
-114.169071,34.351691,Cattail Cove State Park - Hwy 95; Lake Havasu City
-115.760726,50.93723,Mount Assiniboine Provincial Park - Edgewater
-119.516802,49.928836,Bear Creek Provincial Park - Westside Rd; Kelowna
-119.361587,53.050806,Mount Robson Provincial Park - Fraser-Fort George H
-117.133333,49.6,Kokanee Creek Provincial Park - BC-3A; Kokanee Creek
-121.723289,49.349805,Sasquatch Provincial Park - Harrison Hot Springs
-123.117494,49.7822,Alice Lake Provincial Park - Hwy 99; Squamish
-122.670368,49.963373,Garibaldi Provincial Park - 1376 Depot Rd E; Brackendale
-121.370803,49.370883,Coquihalla Canyon Provincial Park - Hope
-121.159887,49.121433,Skagit Valley Provincial Park - Hope
-120.156291,49.081804,Cathedral Provincial Park and Protected Area - HWY-3; Keremeos
-96.915556,51.376389,Beaver Creek Provincial Park - 8801 BC-22A; Trail
-122.450121,49.499726,Golden Ears Provincial Park - 24480 Fern Crescent; Maple Ridge
-125.306988,50.037745,Elk Falls Provincial Park - Hwy 28; Campbell River
-124.668917,49.283476,MacMillan Provincial Park - Nanaimo F
-120.149722,52.323889,Wells Gray Provincial Park - Thompson-Nicola A
-125.720948,58.937816,Muncho Lake Provincial Park - Alaska Hwy; Northern Rockies B
-123.238203,49.556322,Porteau Cove Provincial Park - Squamish-Lillooet D
-121.011214,53.174024,Bowron Lake Provincial Park - Cariboo C
-118.201962,51.148548,Martha Creek Provincial Park - Columbia-Shuswap B
-118.2419,33.9406,Watts Towers of Simon Rodia State Historic Park - 1727 E 107th St; Los Angeles
-118.234048,34.098418,Rio de Los Angeles State Park State Recreation Area - 1900 N San Fernando Rd; Los Angeles
-118.932129,34.046207,Leo Carrillo State Park - 35000 W Pacific Coast Hwy; Malibu
-118.73306,34.10333,Malibu Creek State Park - 39996 Pacific Coast Hwy; Malibu
-118.41389,33.8875,Manhattan Beach State Park - 1699 North the Strand; Manhattan 
-118.52972,34.03361,Will Rogers Beach State Park - 17580 CA-1; Pacific Palisades
-118.51139,34.0561,Will Rogers State Park - 1501 Will Rogers Park Rd; Pacific Palisades
-118.38944,33.82917,Redondo Beach State Park - 153 Knob Hill Ave; Redondo Beach
-118.43333,33.92222,Dockweiler Beach State Park - 12001 Vista Del Mar; Playa Del Rey
-118.50556,34.01889,Santa Monica Beach State Park - Pacific Coast Hwy; Santa Monica
-118.31306,33.71806,White Point State Park - 1801 W Paseo Del Mar; San Pedro
-118.11972,33.74639,Alamitos Bay State Park - 7202 E Ocean Blvd; Long Beach
-118.445,34.37583,Placerita Canyon State Park - 1925 Las Virgenes Rd; Calabasas
-117.72222,33.93,Chino Hills State Park - 4721 Sapphire Rd; Chino Hills
-117.61833,34.11916,Don Tiburcio Tapia State Park - Rancho Cucamonga
-116.40583,33.26917,Anza-Borrego Desert State Park Headquarters - Borrego Springs
-116.26028,33.22889,Anza-Borrego Desert State Park - 200 Palm Canyon Dr; Borrego Springs
-117.25167,32.91472,Torrey Pines State Natural Reserve - 12600 N Torrey Pines Rd; La Jolla
-116.90944,33.3375,Palomar Mountain State Park - 19952 State Park Dr; Palomar Mountain
-117.12139,32.54278,Border Field State Park - 1500 Monument Rd; San Diego
-115.917176,33.509903,Salton Sea State Recreation Area - 100 State Park Rd; Mecca
-116.765,34.14472,Heart Bar State Park - Angelus Oaks
-115.51361,34.94083,Mitchell Caverns State Park - 38299 Essex Rd; Essex
-117.260328,34.477169,Mojave State Fish Hatchery - 62 Mojave Fish Hatchery Rd; Victorville
-116.71306,33.7475,Mount San Jacinto State Park Headquarters - 54270 Pine Crest Ave; Idyllwild
-116.675,33.81028,Mount San Jacinto State Park - 25905 Hwy 243; Idyllwild
-117.25444,33.80055,Motte Rimrock State Reserve - Perris
-117.97167,33.63833,Huntington Beach State Park - 21601 Pacific Coast Hwy; Huntington Beach
-118.04667,33.695,Bolsa Chica Beach State Park - 18000 Pacific Coast Hwy; Huntington Beach
-117.81,33.57056,Crystal Cove State Park - 8471 N Coast Hwy; Laguna Beach
-119.278178,34.268992,San Buenaventura State Beach - 901 San Pedro St; Ventura
-120.02028,34.46,El Capitan Beach State Park - Goleta
-120.22722,34.47222,Gaviota State Park - US Hwy 101; Goleta
-120.07139,34.46222,Refugio Beach State Park - 10 Refugio Beach Rd; Goleta
-119.35861,35.31028,Tule Elk Reserve State Park - 8653 Station Rd; Buttonwillow
-118.67139,36.24,Mountain Home State Forest - Balch Park Rd; Springville
-118.89194,35.43667,Kern River State Park - 13641 Round Mountain Rd; Bakersfield
-120.887924,35.256806,Montana de Ora State Park - 3550 Pecho Valley Rd; Los Osos
-121.12056,35.58361,San Simeon Beach State Park - San Simeon Creek Rd; Cambria
-120.931944,35.448056,Estero Bluffs State Park - Estero Bay; Cayucos
-120.998955,35.487011,Harmony Headlands State Park - 4025 Cabrillo Hwy; Cayucos
-120.64694,34.90139,Point Sal Beach State Park - 2295 Purisima Rd; Lompoc
-120.83167,35.35389,Morro Bay State Park - Morro Bay State Park Rd; Morro Bay
-118.25667,37.09556,Fish Springs State Fish Hatchery - 215 Fish Springs Rd; Big Pine
-117.990956,35.372851,Red Rock Canyon State Park - Abbott Dr; Cantil
-117.80417,34.67778,Saddleback Butte State Park - 18050-18498 E Avenue J; Lancaster
-118.503056,34.759167,Arthur B. Ripley Desert Woodland State Park - Lancaster
-118.858347,37.639925,Hot Creek State Fish Hatchery - 121 Hot Creek Hatchery Rd; Mammoth Lakes
-118.447961,35.130985,Tomo-Kahni State Historic Park - 110 W F St; Tehachapi
-119.7253,37.3656,Wassama Round House State Historic Park - 43055 Rd 628; Ahwahnee
-119.696546,37.020254,Millerton Lake State Recreation Area - CA-145; Friant
-120.91806,37.12389,Volta State Wildlife Area - Los Banos
-121.62972,36.11889,John Little State Park - Dolan Ridge; Big Sur
-121.83333,36.28333,Andrew Molera State Park - Big Sur Station 1; Big Sur
-121.671299,36.159169,Julia Pfeiffer Burns State Park - McWay Waterfall Trail; Big Sur
-121.78167,36.24889,Pfeiffer Big Sur State Park - 47225 Hwy 1; Big Sur
-121.526993,36.013517,Limekiln State Park - Hwy 1; Big Sur
-121.94472,36.51944,Point Lobos State Reserve - 62 Rte 1; Carmel
-121.9,36.466667,Garrapata State Park - Hwy 1; Carmel-By-The-Sea
-121.80778,36.69139,Marina State Park - Cabrillo Hwy; Marina
-121.822222,36.654444,Fort Ord Dunes State Park - Beach Range Rd; Marina
-122.43389,37.68611,San Bruno Mountain State Park - 555 Guadalupe Canyon Pkwy; Brisbane
-122.34417,37.59194,Robert E Woolley State Park - 111 Anza Blvd; Burlingame
-122.49806,37.69666,Thornton Beach State Park - Thornton Beach Rd; Daly City
-122.38361,37.45221,Burleigh Murray Ranch State Park - 305 Higgins Canyon Rd; Half Moon Bay
-122.21583,37.25222,Portola State Park Office and Visitors Center - Portola State Park Rd; La Honda
-122.20417,37.2511,Portola State Park - 221-331 Back Rd; La Honda
-122.42306,37.56056,San Francisco State Fish and Game Refuge - Millbrae
-122.49972,37.55861,McNee Ranch State Park - Liccicitos Rd; Moss Beach
-122.49333,37.6325,Beach State Park - Pacifica
-122.502043,37.598924,Pacifica State Beach - 5000 Pacific Coast Hwy; Pacifica
-122.33361,37.20556,Butano State Park Headquarters - Pescadero
-122.33667,37.10861,Ano Nuevo Island State Park - Pescadero
-122.30222,37.22278,Butano State Park - 1500 Cloverdale Rd; Pescadero
-122.393917,37.18175,Pigeon Point Light Station State Historic Park - 210 Pigeon Point Rd; Pescadero
-122.49,37.78806,James D Phelan Beach State Park
-122.48444,37.79,Baker Beach State Park - Gibson Rd; San Francisco
-122.33667,37.10861,Ano Nuevo State Reserve - 250 Executive Park Blvd; San Francisco
-122.404584,38.556352,Las Posadas State Forest - Las Posadas Rd; Angwin
-122.193056,38.073611,Benicia State Recreation Area - 1 State Park Rd; Benicia
-122.59556,38.655,Robert Louis Stevenson State Park - Lake County Hwy; Calistoga
-122.53444,38.54583,Bothe Napa Valley State Park - 3801 St Helena Hwy; Calistoga
-121.93,37.86278,Mount Diablo State Park - 96 Mitchell Canyon Rd; Clayton
-121.697183,38.11043,Brannan Island State Recreation Area - 17645 CA-160; Rio Vista
-122.43083,37.86417,Angel Island State Park - Tiburon
-122.43361,37.86806,Angel Island State Park Visitor Center - Belvedere Tiburon
-122.72667,38.02583,Samuel P Taylor State Park - 8889 Sir Francis Drake Blvd; Lagunitas
-122.50639,37.82528,Marin Headlands State Park - Mill Valley
-122.595,37.90388,Mount Tamalpais State Park - 801 Panoramic Hwy; Mill Valley
-122.569722,38.1525,Olompali State Historic Park - 8900 Redwood Blvd; Novato
-122.88889,38.12444,Tomales Bay State Park - 7665 Redwood Blvd; Novato
-122.58451,38.25547,Petaluma Adobe State Historic Park - 3325 Adobe Rd; Petaluma
-121.904949,36.985611,The Forest of Nisene Marks State Park - Split Stuff Trail; Aptos
-122.22861,37.18528,Big Basin Redwoods State Park - Boulder Creek
-121.795378,36.777221,Salinas River State Beach - 9004 Monterey Dunes Way; Castroville
-121.211436,37.065039,Pacheco State Park - 38787 Dinosaur Point Rd; Holllister
-113.676996,42.137031,Castle Rock State Park - 15000 Skyline Blvd; Los Gatos
-121.50806,37.195,Henry Willard Coe State Park - 9000 E Dunne Ave; Morgan Hill
-121.80139,36.83722,Zmudowski Beach State Park - 201-215 Giberson Rd; Moss Landing
-121.501667,36.76,Fremont Peak State Park - 10700 San Juan Canyon Rd; San Juan Bautista
-122.05639,36.9525,Natural Bridges Beach State Park - 2531 W Cliff Dr; Santa Cruz
-122.05639,36.9525,Natural Bridges Beach State Park - 2531 W Cliff Dr; Santa Cruz
-122.082989,36.960284,Wilder Ranch State Park - 1401 Coast Rd; Santa Cruz
-122.05194,37.02361,Henry Cowell Redwoods State Park - 2591 Graham Hill Rd; Scotts Valley
-122.11111,37.24889,Loghry State Park - Saratoga
-121.811386,36.947299,Castro Adobe State Historic Park - 184 Old Adobe Rd; Watsonville
-120.28667,38.27194,Calaveras Big Trees State Park - 1170 CA-4; Arnold
